name,team,position,ppg,rpg,apg,spg,bpg,fg_pct,efficiency
Nikola Jokic,Denver Nuggets,C,29.8,12.8,10.2,1.8,0.6,57.5,32.3
Giannis Antetokounmpo,Milwaukee Bucks,F,30.4,11.9,6.4,0.9,1.2,60.2,30.3
Shai Gilgeous-Alexander,Oklahoma City Thunder,G,32.7,5.0,6.4,1.7,1.8,51.9,30.7
Luka Doncic,Los Angeles Lakers,G,28.1,8.3,7.8,1.8,0.4,46.2,23.7
Cade Cunningham,Detroit Pistons,G,25.9,6.1,9.1,1.0,0.7,45.1,20.1
Jayson Tatum,Boston Celtics,F,27.0,8.7,6.0,1.1,0.5,45.3,21.7
Kevin Durant,Phoenix Suns,F,26.6,6.0,4.2,0.8,1.2,52.7,21.1
Donovan Mitchell,Cleveland Cavaliers,G,24.0,4.5,5.0,1.3,0.2,44.3,20.8
Stephen Curry,Golden State Warriors,G,24.5,4.4,6.0,1.1,0.4,44.8,21.5
Devin Booker,Phoenix Suns,G,25.7,4.1,7.1,0.9,0.2,45.9,19.2
Anthony Edwards,Minnesota Timberwolves,G,27.6,5.7,4.5,1.1,0.6,44.7,19.8
Kawhi Leonard,LA Clippers,F,21.0,5.9,3.0,1.6,0.5,49.3,20.3
Tyrese Haliburton,Indiana Pacers,G,18.6,3.5,9.2,1.4,0.6,47.3,21.8
Victor Wembanyama,San Antonio Spurs,F-C,24.3,11.0,3.7,1.1,3.8,47.6,24.2
Jaylen Brown,Boston Celtics,G,22.2,5.8,4.5,1.2,0.3,46.3,17.7
Evan Mobley,Cleveland Cavaliers,F-C,18.6,9.3,3.2,0.9,1.6,56.0,22.4
De'Aaron Fox,San Antonio Spurs,G,23.5,4.8,6.3,1.5,0.4,46.2,18.2
Domantas Sabonis,Sacramento Kings,F-C,19.1,13.9,6.1,0.8,0.4,58.9,22.8
Jalen Brunson,New York Knicks,G,26.0,2.9,7.4,0.9,0.1,48.7,21.8
Jaren Jackson Jr.,Memphis Grizzlies,F-C,22.2,5.7,2.0,1.3,1.5,48.8,18.1
Anthony Davis,Dallas Mavericks,F-C,24.8,11.6,3.5,1.2,1.5,51.5,26.0
Paolo Banchero,Orlando Magic,F,25.9,7.5,4.8,0.8,0.6,45.2,20.3
LeBron James,Los Angeles Lakers,F,24.6,7.9,8.2,1.0,0.6,51.2,22.7
Karl-Anthony Towns,New York Knicks,C,24.4,12.8,3.1,1.0,0.7,52.6,23.4
Jimmy Butler,Golden State Warriors,F,17.2,5.5,5.3,1.4,0.3,50.0,25.9
